uid,rank,covered,model
User863,,0,lm
User863,,0,ranker
User863,,0,postRL
User868,41.0,1,lm
User868,75.0,1,ranker
User868,45.0,1,postRL
User876,,0,lm
User876,,0,ranker
User876,,0,postRL
User88,,0,lm
User88,,0,ranker
User88,,0,postRL
User887,,0,lm
User887,,0,ranker
User887,,0,postRL
User892,,0,lm
User892,,0,ranker
User892,,0,postRL
User893,,0,lm
User893,,0,ranker
User893,,0,postRL
User898,,0,lm
User898,,0,ranker
User898,,0,postRL
User90,,0,lm
User90,,0,ranker
User90,,0,postRL
User908,,0,lm
User908,,0,ranker
User908,,0,postRL
User914,96.0,1,lm
User914,100.0,1,ranker
User914,97.0,1,postRL
User915,,0,lm
User915,,0,ranker
User915,,0,postRL
User916,,0,lm
User916,,0,ranker
User916,,0,postRL
User920,,0,lm
User920,,0,ranker
User920,,0,postRL
User931,,0,lm
User931,,0,ranker
User931,,0,postRL
User936,17.0,1,lm
User936,21.0,1,ranker
User936,15.0,1,postRL
User937,,0,lm
User937,,0,ranker
User937,,0,postRL
User941,,0,lm
User941,,0,ranker
User941,,0,postRL
User951,124.0,1,lm
User951,121.0,1,ranker
User951,124.0,1,postRL
User958,69.0,1,lm
User958,89.0,1,ranker
User958,74.0,1,postRL
User959,115.0,1,lm
User959,120.0,1,ranker
User959,114.0,1,postRL
User96,1803.0,1,lm
User96,3392.0,1,ranker
User96,1852.0,1,postRL
User961,,0,lm
User961,,0,ranker
User961,,0,postRL
User966,,0,lm
User966,,0,ranker
User966,,0,postRL
User967,,0,lm
User967,,0,ranker
User967,,0,postRL
User972,,0,lm
User972,,0,ranker
User972,,0,postRL
User976,,0,lm
User976,,0,ranker
User976,,0,postRL
User98,,0,lm
User98,,0,ranker
User98,,0,postRL
User983,,0,lm
User983,,0,ranker
User983,,0,postRL
User984,,0,lm
User984,,0,ranker
User984,,0,postRL
User987,13.0,1,lm
User987,40.0,1,ranker
User987,14.0,1,postRL
User990,,0,lm
User990,,0,ranker
User990,,0,postRL
User992,,0,lm
User992,,0,ranker
User992,,0,postRL
User994,,0,lm
User994,,0,ranker
User994,,0,postRL
User998,29.0,1,lm
User998,8.0,1,ranker
User998,25.0,1,postRL
