uid,rank,covered,model
User972,,0,lm
User972,,0,ranker
User972,,0,preRL
User976,,0,lm
User976,,0,ranker
User976,,0,preRL
User98,,0,lm
User98,,0,ranker
User98,,0,preRL
User983,,0,lm
User983,,0,ranker
User983,,0,preRL
User984,,0,lm
User984,,0,ranker
User984,,0,preRL
User987,36.0,1,lm
User987,47.0,1,ranker
User987,22.0,1,preRL
User990,,0,lm
User990,,0,ranker
User990,,0,preRL
User992,,0,lm
User992,,0,ranker
User992,,0,preRL
User994,,0,lm
User994,,0,ranker
User994,,0,preRL
User998,10.0,1,lm
User998,15.0,1,ranker
User998,7.0,1,preRL
